#tail	head	edge_weight	edge_type
Q68CZ1	O14974	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q68CZ1	Q04917	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	Q9ULT8	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	Q9Y2D8	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	Q8N0Z3	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	O14641	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	Q6ZU80	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P14373	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q68CZ1	P47756	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q68CZ1	Q86UW6	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	O94986	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	Q9BRK4	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P33981	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	Q9Y2I6	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
